"textoSplit","Freq"
"abajo",1
"abandonarlos",1
"abandono",1
"abrimos",1
"abusador",1
"acá",1
"acabamos",1
"acceso",1
"acciones",1
"aceptado",1
"aceptando",1
"acepte",1
"acerca",1
"acercaron",1
"aclaro",1
"acordó",1
"acostumbrados",1
"actúa",1
"actual",1
"actuales",1
"actuamos",1
"actuaran",1
"actuemos",1
"acuden",1
"adaptados",1
"adecuadas",1
"adelantar",1
"adicionales",1
"admirable",1
"adulto",1
"adultos",1
"adversidad",1
"afectan",1
"afianzar",1
"agarra",1
"agradecerle",1
"agravaba",1
"agregar",1
"agricultores",1
"agricultura",1
"ah",1
"ahorita",1
"aislando",1
"ajeno",1
"alimentación",1
"allá",1
"almanaque",1
"alteradas",1
"alterado",1
"alternativas",1
"altos",1
"amarillista",1
"ambiente",1
"amigo",1
"amistosas",1
"amor",1
"amparo",1
"amplia",1
"ampliar",1
"analicen",1
"andes",1
"anillo",1
"ánimo",1
"anterior",1
"antiguo",1
"apantallar",1
"aplicaciones",1
"aportaron",1
"apoyan",1
"apoyando",1
"apoyar",1
"apoye",1
"aprobó",1
"aprovecha",1
"apuestan",1
"apueste",1
"argentina",1
"argumentos",1
"arriesgando",1
"articulistas",1
"artículo",1
"aseguro",1
"aspiracioncita",1
"atenderlo",1
"atiende",1
"atravesando",1
"aumenta",1
"aumenten",1
"autónomos",1
"autopista",1
"autosuficientes",1
"avalancha",1
"ávila",1
"ayudarnos",1
"azucarera",1
"bajan",1
"bajando",1
"bajo",1
"barata",1
"básicos",1
"bastante",1
"becas",1
"blindarnos",1
"bondad",1
"borró",1
"breve",1
"buen",1
"buscando",1
"buscar",1
"busquemos",1
"cabeza",1
"cabo",1
"caída",1
"calles",1
"camacho",1
"cambiando",1
"cambiar",1
"cambie",1
"cambio",1
"cambió",1
"camino",1
"caminos",1
"campañas",1
"cañera",1
"cañeras",1
"capaz",1
"capítulo",1
"característica",1
"cárdenas",1
"careros",1
"casi",1
"causa",1
"ceder",1
"cerca",1
"cerveza",1
"ciencia",1
"ciento",1
"cierto",1
"ciertos",1
"circunstancia",1
"ciudades",1
"clínicas",1
"coercitivo",1
"coincido",1
"colaboración",1
"colocando",1
"columnistas",1
"combustibles",1
"come",1
"comen",1
"comentaba",1
"comentar",1
"comentaristas",1
"comenté",1
"comento",1
"comerciantes",1
"comienza",1
"completamente",1
"comportamiento",1
"comportan",1
"comprarle",1
"comprenderán",1
"comunidad",1
"concepción",1
"conciencia",1
"conciliación",1
"concluya",1
"condiciones",1
"confiarnos",1
"confrontación",1
"congreguemos",1
"congreso",1
"congresos",1
"connotación",1
"conocen",1
"conozco",1
"consagrados",1
"consciencia",1
"consciente",1
"conseguimos",1
"considerables",1
"consiguiendo",1
"consolidando",1
"constitución",1
"consultaba",1
"contagio",1
"contagios",1
"contamos",1
"contando",1
"contar",1
"contento",1
"contestarte",1
"continúe",1
"contrario",1
"control",1
"convencido",1
"convencimiento",1
"convenio",1
"convirtió",1
"convocando",1
"convocaríamos",1
"coordinada",1
"coordinado",1
"corresponde",1
"correspondemos",1
"correspondió",1
"cosecha",1
"cosechas",1
"cotidiana",1
"crear",1
"creen",1
"crucificado",1
"cruel",1
"cuáles",1
"cuándo",1
"cuanto",1
"cubrir",1
"cueste",1
"cuidamos",1
"cuidándonos",1
"cuidar",1
"cuidarnos",1
"cuidemos",1
"cultura",1
"cúpula",1
"cura",1
"daba",1
"dama",1
"dan",1
"dándole",1
"dañar",1
"daño",1
"darle",1
"debacle",1
"debemos",1
"debilidades",1
"debilitarnos",1
"decirle",1
"decirlo",1
"dedicado",1
"dedicados",1
"dedo",1
"dejando",1
"dejemos",1
"delictiva",1
"demanda",1
"demandando",1
"demos",1
"demostrando",1
"depender",1
"derroche",1
"desataba",1
"desconfianza",1
"desgraciadamente",1
"desinfectar",1
"despedir",1
"desperdicia",1
"despida",1
"después",1
"desquicia",1
"destinar",1
"detenido",1
"detenidos",1
"determine",1
"deuda",1
"devolver",1
"devolverlo",1
"devolvían",1
"devolvieron",1
"diabetes",1
"diarias",1
"días",1
"dicho",1
"diésel",1
"diferencia",1
"difíciles",1
"difunda",1
"dijimos",1
"diputadas",1
"director",1
"diría",1
"discapacidad",1
"disciplina",1
"diseña",1
"disponibles",1
"disposición",1
"dispuestos",1
"distanciados",1
"distinto",1
"doctor",1
"dólares",1
"domina",1
"donald",1
"duda",1
"echar",1
"eclipsar",1
"efecto",1
"ejemplar",1
"ejemplares",1
"ejemplos",1
"ellas",1
"embajada",1
"embajador",1
"embargo",1
"emergencia",1
"eméritos",1
"empezando",1
"empezar",1
"empiecen",1
"empleos",1
"empresario",1
"empresas",1
"encontrar",1
"endeudar",1
"energéticos",1
"énfasis",1
"enfermera",1
"enfermo",1
"entendieron",1
"entienda",1
"entrada",1
"entradas",1
"entre",1
"entrega",1
"entregándole",1
"entrego",1
"entren",1
"enviarles",1
"época",1
"épocas",1
"éramos",1
"eran",1
"escuchan",1
"escuelas",1
"esfuerzo",1
"espacios",1
"espaldas",1
"especie",1
"especular",1
"esperarnos",1
"esperemos",1
"estabilizar",1
"establecieron",1
"estadounidenses",1
"estándares",1
"estas",1
"estimula",1
"estrategia",1
"estudiantes",1
"exactamente",1
"exaltaba",1
"exaltarlo",1
"excusa",1
"existido",1
"exportarla",1
"expresándose",1
"expresiones",1
"expulsión",1
"extensión",1
"exteriores",1
"extranjera",1
"extranjero",1
"extraordinario",1
"fácil",1
"fallece",1
"fallecidos",1
"fallecimiento",1
"faltaba",1
"familiarmente",1
"favorecer",1
"fe",1
"felicidad",1
"fideicomisos",1
"fijaron",1
"flaquezas",1
"flote",1
"forma",1
"fortalecer",1
"fortalecerlo",1
"fortaleciendo",1
"fraternos",1
"frijoles",1
"fuera",1
"fueron",1
"función",1
"funciona",1
"funcionamiento",1
"funcionan",1
"funcionaron",1
"gabinete",1
"garabato",1
"garantía",1
"garantizando",1
"garantizar",1
"gasolinas",1
"gasolinera",1
"gasolineras",1
"gasolinerías",1
"gastado",1
"gato",1
"general",1
"gestiones",1
"gobernar",1
"gracias",1
"grandeza",1
"gratitud",1
"gratuitos",1
"graves",1
"grupos",1
"habían",1
"habido",1
"hablaba",1
"hablábamos",1
"hablado",1
"hablé",1
"habló",1
"hacemos",1
"hacerle",1
"hacerlo",1
"haces",1
"hacían",1
"hacienda",1
"hagan",1
"hago",1
"hambre",1
"haríamos",1
"hechos",1
"hice",1
"hicimos",1
"hipertensión",1
"hipocresía",1
"homicidios",1
"hostil",1
"hubiésemos",1
"hubo",1
"hugo",1
"humana",1
"humanismo",1
"humano",1
"humanos",1
"iba",1
"idea",1
"iglesia",1
"ilegal",1
"imagínense",1
"impedir",1
"imponerse",1
"importantísimo",1
"importe",1
"incidencia",1
"incidente",1
"incluiría",1
"indicaciones",1
"indispensable",1
"indolente",1
"indudable",1
"industria",1
"inercias",1
"infección",1
"informándole",1
"informe",1
"informen",1
"informo",1
"ingenio",1
"ingresar",1
"iniciamos",1
"iniciar",1
"inició",1
"inmensa",1
"inscribe",1
"instalación",1
"instale",1
"institución",1
"instruí",1
"instrumento",1
"insumo",1
"integrantes",1
"integridad",1
"inteligente",1
"internet",1
"intervenciones",1
"inventando",1
"investigadores",1
"invirtió",1
"invita",1
"invito",1
"inyectando",1
"irresponsable",1
"jalisco",1
"jesús",1
"joven",1
"juez",1
"juicio",1
"junto",1
"juntos",1
"justa",1
"justicia",1
"legal",1
"lema",1
"leprosos",1
"levantar",1
"levantarlos",1
"libres",1
"llaman",1
"lleva",1
"llevando",1
"llevo",1
"local",1
"locales",1
"logra",1
"lópezgatell",1
"lugares",1
"lujos",1
"maíz",1
"malagradecido",1
"malbaratarlo",1
"malo",1
"malos",1
"mandamientos",1
"mandándolos",1
"maneras",1
"manifestaciones",1
"manifestando",1
"manifestar",1
"manifiesta",1
"mano",1
"mantenga",1
"manteniendo",1
"mantiene",1
"mantienen",1
"mañana…",1
"materiales",1
"medicamentos",1
"medios",1
"medraban",1
"mensaje",1
"mete",1
"meter",1
"mexicano",1
"miembro",1
"mientras",1
"migración",1
"migrante",1
"miles",1
"minoría",1
"minorías",1
"mirar",1
"mis",1
"mismas",1
"mixteca",1
"moderna",1
"modo",1
"moneda",1
"morelos",1
"morir",1
"móvil",1
"muchas",1
"muchísimas",1
"muchísimos",1
"muerte",1
"muestra",1
"muestras",1
"muros",1
"nacer",1
"nacionales",1
"nadie",1
"necesario",1
"necesitados",1
"necesitan",1
"negocio",1
"negocios",1
"neoliberales",1
"neoliberalismo",1
"nervioso",1
"niñas",1
"niños",1
"nombre",1
"normales",1
"normalidad",1
"nota",1
"notas",1
"noticias",1
"novela",1
"nube",1
"núcleo",1
"nueva",1
"nuevo",1
"nunca",1
"oaxaca",1
"objetivos",1
"obligación",1
"obras",1
"obstáculos",1
"ocultando",1
"ocultar",1
"ocupa",1
"odio",1
"ojo",1
"ojos",1
"olvidan",1
"opciones",1
"operar",1
"oportunidades",1
"optimista",1
"organismos",1
"organización",1
"otorgamiento",1
"pagaba",1
"pagó",1
"pan",1
"panistas",1
"panza",1
"participación",1
"pasajera",1
"paz",1
"peculiaridad",1
"pedirles",1
"pensaban",1
"pensar",1
"peor",1
"pequeños",1
"percibe",1
"perder",1
"perdido",1
"periodista",1
"permanente",1
"permiten",1
"permitido",1
"permitir",1
"pésame",1
"pesar",1
"piden",1
"pie",1
"pienso",1
"planteando",1
"plática",1
"población",1
"pobre",1
"políticamente",1
"político",1
"políticos",1
"pongo",1
"ponía",1
"portado",1
"portados",1
"portando",1
"posibilidad",1
"potentados",1
"prácticas",1
"precavida",1
"predicar",1
"predominio",1
"preferencial",1
"preguntaste",1
"premios",1
"premisas",1
"prensa",1
"preocupa",1
"preparadas",1
"preparados",1
"presentaba",1
"presentando",1
"presentó",1
"preventivas",1
"principal",1
"prioridades",1
"prioritaria",1
"probado",1
"procesar",1
"procurar",1
"produciendo",1
"producimos",1
"profesionalmente",1
"profundizar",1
"profundos",1
"prolifere",1
"pronósticos",1
"propia",1
"propio",1
"propuesta",1
"propusieron",1
"protegido",1
"protestas",1
"provecho",1
"proyecciones",1
"prudencia",1
"prueba",1
"pudieron",1
"pudiese",1
"pudiesen",1
"pueden",1
"puerta",1
"puntual",1
"puntualizar",1
"puntualmente",1
"pusiera",1
"puso",1
"quedado",1
"quedan",1
"quedó",1
"querido",1
"queriendo",1
"quieran",1
"quisiéramos",1
"quitó",1
"radio",1
"realistas",1
"realmente",1
"recetas",1
"recibir",1
"recomendación",1
"recomiendan",1
"reconoce",1
"reconocer",1
"recordemos",1
"recuerdo",1
"recuperación",1
"recursos",1
"redentor",1
"refinerías",1
"reforzar",1
"regiones",1
"registren",1
"regresar",1
"regresarse",1
"relaje",1
"rémoras",1
"repetir",1
"republicana",1
"requiere",1
"rescatar",1
"rescató",1
"resistencias",1
"resolver",1
"resolvió",1
"respeta",1
"respetó",1
"respetuosa",1
"respetuosos",1
"respondiendo",1
"responsable",1
"respuesta",1
"respuestas",1
"resto",1
"resuelto",1
"resultados",1
"resultó",1
"retroceso",1
"reuniones",1
"revisados",1
"revisar",1
"revuelto",1
"rico",1
"riesgo",1
"río",1
"robaron",1
"robo",1
"rompa",1
"sabemos",1
"saber",1
"sacar",1
"salgamos",1
"salvar",1
"saquear",1
"satanizó",1
"sean",1
"seguimos",1
"segundo",1
"seis",1
"selección",1
"senadores",1
"sentirse",1
"señora",1
"sepan",1
"sería",1
"servicio",1
"servicios",1
"significar",1
"siguiendo",1
"siguiente",1
"sinceramente",1
"síntomas…",1
"siquiera",1
"soberanías",1
"sociedad",1
"sol",1
"solazarse",1
"solicite",1
"solidario",1
"someten",1
"sometido",1
"sostengo",1
"sostenido",1
"soy",1
"subsidiados",1
"sucedan",1
"sucede",1
"sucediendo",1
"sueldo",1
"sueldos",1
"suficientes",1
"sufren",1
"tan",1
"tanteo",1
"tardar",1
"televisión",1
"templos",1
"temporalmente",1
"tendríamos",1
"tenerse",1
"tengamos",1
"tenían",1
"termina",1
"terminando",1
"terminarlos",1
"terminaron",1
"terminarse",1
"terminó",1
"término",1
"tienda",1
"tiende",1
"tienen",1
"tipo",1
"tiradero",1
"toluca",1
"tolucaciudad",1
"tomado",1
"toman",1
"tomando",1
"tome",1
"trabajar",1
"tragar",1
"tranquila",1
"tranquilo",1
"transición",1
"transmitiendo",1
"transmitir",1
"transmitirle",1
"trata",1
"tratamiento",1
"trato",1
"través",1
"travesura",1
"trenes",1
"tres",1
"trimestre",1
"único",1
"unirse",1
"universidad",1
"unos",1
"urgente",1
"usarlo",1
"usé",1
"usen",1
"utilicen",1
"utilizan",1
"valor",1
"vano",1
"variables",1
"vaya",1
"vecinos",1
"vehículos",1
"venido",1
"venir",1
"venta",1
"vente",1
"viejo",1
"vigor",1
"vinieron",1
"vino",1
"visita",1
"visitando",1
"visto",1
"viven",1
"vivían",1
"vivir",1
"voluntad",1
"volvemos",1
"voracidad",1
"votado",1
"vuelvo",1
"vulnerables",1
"zona",1
"zopilotes",1
"acaba",2
"aceptar",2
"acepten",2
"actitudes",2
"actuado",2
"actuando",2
"adversarios",2
"afecta",2
"agradecer",2
"alguien",2
"alimentos",2
"alrededor",2
"amigos",2
"año",2
"aplicación",2
"aplomo",2
"apoyos",2
"arriba",2
"aspectos",2
"atendiendo",2
"austeridad",2
"autonomía",2
"avalúo",2
"avanzando",2
"ayuda",2
"ayudado",2
"ayudan",2
"bajos",2
"barriles",2
"básicamente",2
"básico",2
"bienestar",2
"buenos",2
"campaña",2
"campo",2
"cantidad",2
"caña",2
"capacidad",2
"cardel",2
"casas",2
"cervecera",2
"ciudad",2
"completo",2
"comunicación",2
"conocer",2
"constantemente",2
"construcción",2
"convicciones",2
"correcto",2
"costa",2
"costando",2
"creo",2
"crudo",2
"cultural",2
"cumpliendo",2
"da",2
"dé",2
"decirles",2
"decisiones",2
"dejar",2
"depreciación",2
"desarrollo",2
"destruir",2
"detener",2
"devolución",2
"diarios",2
"dice",2
"dicen",2
"difícil",2
"digamos",2
"dinero",2
"dio",2
"directivos",2
"distinta",2
"dueños",2
"egoísmo",2
"él",2
"elemento",2
"enfrentando",2
"escrúpulos",2
"especial",2
"estaban",2
"esté",2
"estén",2
"estos",2
"evitar",2
"existe",2
"expresidentes",2
"falten",2
"familiar",2
"favor",2
"filtro",2
"fin",2
"financieros",2
"fondos",2
"fortaleza",2
"fraternidad",2
"fuerte",2
"fui",2
"funcionar",2
"funcionarios",2
"ganan",2
"gel",2
"gran",2
"gustaría",2
"había",2
"hablando",2
"hacia",2
"hipócrita",2
"hombres",2
"importa",2
"impuestos",2
"imssbienestar",2
"individualismo",2
"individualista",2
"índole",2
"infectado",2
"infectados",2
"influyentismo",2
"injusticias",2
"internacionales",2
"inversión",2
"legisladores",2
"legislatura",2
"llamada",2
"llamados",2
"llega",2
"llegando",2
"logrando",2
"luchando",2
"magna",2
"mayor",2
"mayores",2
"médica",2
"medida",2
"medidas",2
"millón",2
"mire",2
"miren",2
"momento",2
"morales",2
"móviles",2
"muerto",2
"muertos",2
"mundo",2
"necesidad",2
"necesita",2
"negativos",2
"negra",2
"neoliberal",2
"ningún",2
"ninguna",2
"nuevas",2
"obra",2
"obvias",2
"ocho",2
"países",2
"palabra",2
"pandemia",2
"partir",2
"pasa",2
"pasado",2
"paso",2
"pasó",2
"pega",2
"pensión",2
"pesos",2
"pidiendo",2
"pieza",2
"pobres",2
"podemos",2
"podría",2
"precisamente",2
"preparando",2
"preparándonos",2
"prepararnos",2
"primera",2
"principio",2
"privado",2
"privilegios",2
"problemas",2
"producción",2
"producir",2
"programa",2
"prójimo",2
"promedio",2
"pronóstico",2
"protección",2
"pruebas",2
"pública",2
"pueblos",2
"pueda",2
"quienes",2
"quisieran",2
"quiso",2
"razones",2
"reactivar",2
"refinación",2
"reflexión",2
"reforma",2
"reglas",2
"requieren",2
"reserva",2
"resultado",2
"reunión",2
"revueltas",2
"sabe",2
"sacado",2
"secretaría",2
"sido",2
"significa",2
"somos",2
"suceder",2
"técnicos",2
"tema",2
"temporada",2
"tengan",2
"tenía",2
"teníamos",2
"tenosique",2
"tlaxiaco",2
"toneladas",2
"trabajador",2
"tratado",2
"tren",2
"triunfar",2
"trump",2
"unidades",2
"ve",2
"vemos",2
"vender",2
"vendiendo",2
"viene",2
"viviendo",2
"acabar",3
"acuerdos",3
"afortunadamente",3
"agua",3
"aplicar",3
"aprovecho",3
"asunto",3
"atender",3
"ayudando",3
"banco",3
"buenas",3
"cada",3
"cámara",3
"canadá",3
"casa",3
"científicos",3
"claro",3
"clase",3
"compañera",3
"continuar",3
"corazón",3
"cualquier",3
"cuántos",3
"cuenta",3
"debe",3
"decide",3
"decisión",3
"desabasto",3
"diario",3
"diputados",3
"dos",3
"económico",3
"empleo",3
"equipo",3
"equipos",3
"estábamos",3
"estado",3
"falta",3
"familias",3
"fobaproa",3
"fortalezas",3
"fuese",3
"fundamental",3
"haber",3
"hecho",3
"hemos",3
"hizo",3
"inconclusos",3
"informando",3
"ley",3
"litro",3
"llegar",3
"lograr",3
"mantener",3
"médico",3
"mexicali",3
"mexicanos",3
"millones",3
"mujeres",3
"mundial",3
"nacional",3
"ni",3
"nuestros",3
"orden",3
"otras",3
"otro",3
"pagar",3
"pensando",3
"peso",3
"pocos",3
"podamos",3
"precio",3
"primer",3
"privados",3
"públicos",3
"puedan",3
"querer",3
"quieren",3
"realidad",3
"régimen",3
"rescate",3
"respetuoso",3
"robar",3
"sino",3
"social",3
"solidaridad",3
"subsidio",3
"tampoco",3
"tanto",3
"te",3
"terminar",3
"uno",3
"vayan",3
"ven",3
"verdad",3
"vida",3
"actuar",4
"aguascalientes",4
"ahorros",4
"algo",4
"algunos",4
"años",4
"aquí",4
"aumentar",4
"ayudar",4
"casos",4
"circunstancias",4
"ciudadanos",4
"cooperación",4
"cosa",4
"decía",4
"derecho",4
"día",4
"domingo",4
"donde",4
"economía",4
"empresarios",4
"enfermos",4
"enfrentar",4
"era",4
"esos",4
"fortalecidos",4
"fue",4
"gasolina",4
"hablar",4
"hablo",4
"hacía",4
"he",4
"hoy",4
"manifiesto",4
"médicos",4
"mi",4
"momentos",4
"muchos",4
"nuestra",4
"nuestro",4
"pendientes",4
"poco",4
"poner",4
"precios",4
"preguntas",4
"quedaron",4
"queremos",4
"quiere",4
"recomendaciones",4
"relación",4
"relaciones",4
"respeto",4
"salud",4
"seguridad",4
"situación",4
"suficiente",4
"todas",4
"todavía",4
"trabajo",4
"transitoria",4
"viendo",4
"votaron",4
"acuerdo",5
"alcohol",5
"apoyo",5
"buena",5
"confianza",5
"contra",5
"cosas",5
"dando",5
"digo",5
"dónde",5
"estaba",5
"información",5
"iva",5
"mañana",5
"mejor",5
"menos",5
"mucha",5
"número",5
"otra",5
"parte",5
"petróleo",5
"poder",5
"primero",5
"prioridad",5
"productores",5
"propósito",5
"público",5
"puede",5
"quién",5
"repito",5
"sé",5
"sector",5
"sigamos",5
"sobre",5
"tiempo",5
"tiempos",5
"toda",5
"trabajando",5
"usar",5
"ustedes",5
"ventiladores",5
"vez",5
"adelante",6
"además",6
"atención",6
"coronavirus",6
"ellos",6
"epidemia",6
"especialistas",6
"estoy",6
"familia",6
"han",6
"hasta",6
"haya",6
"mayoría",6
"migrantes",6
"ojalá",6
"planta",6
"posible",6
"presidente",6
"proceso",6
"pronto",6
"reactivación",6
"sólo",6
"sus",6
"ver",6
"actitud",7
"camas",7
"cuando",7
"ir",7
"llamado",7
"nuestras",7
"plan",7
"política",7
"qué",7
"tener",7
"ahí",8
"bien",8
"bueno",8
"caso",8
"ese",8
"este",8
"importante",8
"mal",8
"manera",8
"mismo",8
"puedo",8
"sea",8
"ser",8
"sin",8
"trabajadores",8
"transformación",8
"ayer",9
"económica",9
"ejemplo",9
"esas",9
"esta",9
"estar",9
"haciendo",9
"mil",9
"pues",9
"quiero",9
"salir",9
"seguir",9
"tengo",9
"tiene",9
"unidad",9
"antes",10
"desde",10
"hace",10
"hospital",10
"luego",10
"nada",10
"nosotros",10
"otros",10
"crisis",11
"dar",11
"esa",11
"ha",11
"país",11
"gente",13
"le",13
"su",13
"voy",13
"corrupción",14
"hacer",14
"hospitales",14
"ahora",15
"así",15
"cómo",15
"decir",15
"me",15
"mucho",15
"todos",15
"sí",16
"también",16
"todo",16
"yo",16
"entonces",18
"siempre",18
"unidos",18
"estados",19
"tenemos",19
"son",20
"gobierno",21
"van",22
"esto",23
"o",23
"estamos",24
"les",25
"muy",27
"como",29
"están",29
"está",30
"más",30
"nos",30
"si",31
"va",32
"ya",32
"vamos",35
"hay",36
"méxico",36
"las",37
"una",37
"",38
"eso",38
"por",39
"al",41
"pero",43
"pueblo",43
"porque",47
"con",54
"un",57
"del",60
"para",62
"lo",101
"es",106
"los",117
"en",133
"se",138
"el",144
"no",145
"y",164
"la",195
"a",226
"que",247
"de",283
